id,department,title,value,change,changeType,status,description,icon,chartType,trendData,comments,roles
mkt-1,Marketing,New Clients Reached,950,-12%,decrease,at-risk,vs. previous month,Users,line,"[{""month"":""Jan"",""value"":1100},{""month"":""Feb"",""value"":1050},{""month"":""Mar"",""value"":1000},{""month"":""Apr"",""value"":980},{""month"":""May"",""value"":960},{""month"":""Jun"",""value"":950}]","[{""id"":1,""author"":""Alex G."",""text"":""Need to analyze this trend"",""timestamp"":""2h ago"",""avatar"":""https://picsum.photos/seed/1/32/32""}]","CEO,Manager"
mkt-2,Marketing,Demos Booked,280,+10%,increase,on-track,vs. previous month,Presentation,bar,"[{""month"":""Jan"",""value"":200},{""month"":""Feb"",""value"":210},{""month"":""Mar"",""value"":230},{""month"":""Apr"",""value"":250},{""month"":""May"",""value"":260},{""month"":""Jun"",""value"":280}]",[],"Manager,Employee"
mkt-3,Marketing,Campaigns Launched,3,-1,decrease,at-risk,This quarter,Megaphone,bar,"[{""month"":""Q1"",""value"":4},{""month"":""Q2"",""value"":3}]",[],"Manager,Employee"
mkt-4,Marketing,Conversion Rate,3.5%,-1.2%,decrease,off-track,vs. previous month,Goal,line,"[{""month"":""Jan"",""value"":5.0},{""month"":""Feb"",""value"":4.8},{""month"":""Mar"",""value"":4.7},{""month"":""Apr"",""value"":4.2},{""month"":""May"",""value"":3.8},{""month"":""Jun"",""value"":3.5}]",[],"CEO,Manager"
mkt-5,Marketing,Social Media Engagement,15%,+3%,increase,on-track,vs. previous month,ThumbsUp,line,"[{""month"":""Jan"",""value"":10},{""month"":""Feb"",""value"":11},{""month"":""Mar"",""value"":12},{""month"":""Apr"",""value"":13},{""month"":""May"",""value"":14},{""month"":""Jun"",""value"":15}]",[],"Employee"
eng-1,Engineering,New Features Developed,5,-3,decrease,off-track,This quarter,GitMerge,bar,"[{""month"":""Q1"",""value"":8},{""month"":""Q2"",""value"":5}]",[],"CEO,Manager"
eng-2,Engineering,Bugs Fixed,95,-25%,decrease,at-risk,vs. previous month,Bug,bar,"[{""month"":""Jan"",""value"":150},{""month"":""Feb"",""value"":140},{""month"":""Mar"",""value"":130},{""month"":""Apr"",""value"":120},{""month"":""May"",""value"":110},{""month"":""Jun"",""value"":95}]",[],"Manager,Employee"
eng-3,Engineering,Tickets Closed,280,-10%,decrease,at-risk,vs. previous month,FileCheck,line,"[{""month"":""Jan"",""value"":350},{""month"":""Feb"",""value"":340},{""month"":""Mar"",""value"":320},{""month"":""Apr"",""value"":310},{""month"":""May"",""value"":300},{""month"":""Jun"",""value"":280}]",[],"Employee"
eng-4,Engineering,Code Coverage,82%,-6%,decrease,off-track,Project 'Phoenix',Percent,line,"[{""month"":""Jan"",""value"":90},{""month"":""Feb"",""value"":88},{""month"":""Mar"",""value"":86},{""month"":""Apr"",""value"":85},{""month"":""May"",""value"":84},{""month"":""Jun"",""value"":82}]",[],"Manager"
eng-5,Engineering,Deployment Frequency,8/month,-4,decrease,at-risk,Production environment,Rocket,bar,"[{""month"":""Jan"",""value"":12},{""month"":""Feb"",""value"":12},{""month"":""Mar"",""value"":10},{""month"":""Apr"",""value"":10},{""month"":""May"",""value"":9},{""month"":""Jun"",""value"":8}]",[],"CEO,Manager"
tst-1,Testing,New Features Tested,5,-3,decrease,off-track,This quarter,ListChecks,bar,"[{""month"":""Q1"",""value"":8},{""month"":""Q2"",""value"":5}]",[],"Manager"
tst-2,Testing,Bugs Found,68,+26,increase,off-track,vs. previous month,Search,bar,"[{""month"":""Jan"",""value"":35},{""month"":""Feb"",""value"":38},{""month"":""Mar"",""value"":42},{""month"":""Apr"",""value"":55},{""month"":""May"",""value"":60},{""month"":""Jun"",""value"":68}]",[],"Manager,Employee"
tst-3,Testing,Test Case Coverage,98%,+3%,increase,on-track,End-to-end scenarios,ClipboardList,line,"[{""month"":""Jan"",""value"":92},{""month"":""Feb"",""value"":93},{""month"":""Mar"",""value"":94},{""month"":""Apr"",""value"":95},{""month"":""May"",""value"":96},{""month"":""Jun"",""value"":98}]",[],"CEO,Manager"
tst-4,Testing,Regression Issues,8,+5,increase,off-track,Post-deployment,Flame,bar,"[{""month"":""Jan"",""value"":2},{""month"":""Feb"",""value"":3},{""month"":""Mar"",""value"":4},{""month"":""Apr"",""value"":6},{""month"":""May"",""value"":7},{""month"":""Jun"",""value"":8}]",[],"Employee"
